1745079079: mosquitto version 2.0.21 starting
1745079079: Config loaded from mosquitto.conf.
1745079079: Opening ipv4 listen socket on port 1887.
1745079079: mosquitto version 2.0.21 running
1745079082: New connection from 127.0.0.1:56670 on port 1887.
1745079082: New client connected from 127.0.0.1:56670 as auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (p2, c1, k60).
1745079082: No will message specified.
1745079082: Sending CONNACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (0, 0)
1745079082: Received SUBSCRIBE from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: 	/sensor/temperature/# (QoS 0)
1745079082: auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 0 /sensor/temperature/#
1745079082: Sending SUBACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: Received SUBSCRIBE from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: 	/sensor/pressure/# (QoS 0)
1745079082: auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 0 /sensor/pressure/#
1745079082: Sending SUBACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079086: New connection from 127.0.0.1:56724 on port 1887.
1745079086: New client connected from 127.0.0.1:56724 as raspberry_pi_sector1_dev001_7006321c (p2, c1, k60).
1745079086: No will message specified.
1745079086: Sending CONNACK to raspberry_pi_sector1_dev001_7006321c (0, 0)
1745079086: Received SUBSCRIBE from raspberry_pi_sector1_dev001_7006321c
1745079086: 	/actuator/valve/sector1/dev001 (QoS 0)
1745079086: raspberry_pi_sector1_dev001_7006321c 0 /actuator/valve/sector1/dev001
1745079086: Sending SUBACK to raspberry_pi_sector1_dev001_7006321c
1745079086: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079086: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079086: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079086: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079091: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079091: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079091: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079091: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079096: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079096: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079096: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079096: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079101: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079101: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079101: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079101: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079106: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079106: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079106: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079106: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079111: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079111: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079111: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079111: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079116: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079116: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079116: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079116: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079121: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079121: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079121: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079121: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079126: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079126: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079126: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079126: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079131: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079131: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079131: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079131: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079136: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079136: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079136: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079136: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079141: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
